,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0
2020-09-23 14:01:00,0.0,1.5,-0.5,-0.5,-1.0,0.0,-0.5,0.5,1.5,-0.5,0.0,-0.5
2020-09-23 14:02:00,0.3333333333333333,1.6666666666666667,-0.3333333333333333,-1.0,-1.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,2.0,-1.0,-0.3333333333333333,0.0
2020-09-23 14:03:00,0.5,1.75,-0.5,-1.25,-1.25,-0.25,-0.25,0.0,2.0,-1.25,-0.75,0.25
2020-09-23 14:04:00,0.6,1.6,-0.4,-1.4,-1.0,-0.2,-0.4,-0.2,2.0,-1.2,-1.0,0.4
2020-09-23 14:05:00,0.6666666666666666,1.3333333333333333,-0.5,-1.6666666666666667,-0.8333333333333334,0.0,-0.3333333333333333,-0.16666666666666666,2.0,-1.3333333333333333,-1.3333333333333333,0.3333333333333333
2020-09-23 14:06:00,0.5714285714285714,1.1428571428571428,-0.7142857142857143,-2.0,-0.7142857142857143,0.2857142857142857,-0.2857142857142857,-0.2857142857142857,2.0,-1.2857142857142858,-1.5714285714285714,0.2857142857142857
2020-09-23 14:07:00,0.5,1.125,-0.875,-2.125,-0.75,0.5,-0.25,-0.25,2.0,-1.25,-1.875,0.375
2020-09-23 14:08:00,0.4444444444444444,1.2222222222222223,-1.0,-2.111111111111111,-0.6666666666666666,0.7777777777777778,-0.3333333333333333,-0.3333333333333333,2.111111111111111,-1.3333333333333333,-2.2222222222222223,0.5555555555555556
2020-09-23 14:09:00,0.4,1.4,-1.2,-2.0,-0.5,1.0,-0.5,-0.3,2.2,-1.3,-2.5,0.8
2020-09-23 14:10:00,0.36363636363636365,1.6363636363636365,-1.3636363636363635,-1.8181818181818181,-0.36363636363636365,1.2727272727272727,-0.5454545454545454,-0.2727272727272727,2.3636363636363638,-1.2727272727272727,-2.6363636363636362,1.0
2020-09-23 14:11:00,0.4166666666666667,1.75,-1.4166666666666667,-1.6666666666666667,-0.16666666666666666,1.4166666666666667,-0.6666666666666666,-0.3333333333333333,2.5833333333333335,-1.3333333333333333,-2.6666666666666665,1.25
2020-09-23 14:12:00,0.5384615384615384,1.9230769230769231,-1.4615384615384615,-1.6153846153846154,-0.07692307692307693,1.4615384615384615,-0.7692307692307693,-0.3076923076923077,2.8461538461538463,-1.3076923076923077,-2.6923076923076925,1.3846153846153846
2020-09-23 14:13:00,0.7142857142857143,2.142857142857143,-1.5714285714285714,-1.5714285714285714,-0.07142857142857142,1.5,-0.9285714285714286,-0.35714285714285715,3.0714285714285716,-1.2142857142857142,-2.7857142857142856,1.5
2020-09-23 14:14:00,0.8666666666666667,2.2666666666666666,-1.6666666666666667,-1.6,-0.06666666666666667,1.6,-1.0,-0.3333333333333333,3.3333333333333335,-1.2,-2.8666666666666667,1.5333333333333334
2020-09-23 14:15:00,0.9375,2.4375,-1.75,-1.625,-0.125,1.625,-1.0,-0.3125,3.5,-1.125,-2.875,1.625
