"Frambuesa", 2154.48, 90
"Papa", 23.82, 800
"Durazno", 140.81, 768
"Tomate", 798.89, 801
"Choclo", 46.71, 249
"Melón", 84.26, 432
"Lima", 1396.27, 216
"Acelga", 21.84, 900
"Lechuga", 41.14, 918
"Sandía", 67.93, 918
"Limon", 311.48, 637
"Mandarina", 25.66, 900
"Zanahoria", 37.73, 630
"Ciruela", 926.32, 783
"Palta", 451.37, 595
"Kinoto", 43.63, 192
"Cereza", 1018.11, 230
"Limon", 326.70, 833
"Higo", 2481.37, 83
"Calabaza", 22.10, 672
"Coliflor", 27.80, 570
"Frutilla", 284.38, 273
"Naranja", 11.62, 1060
"Frambuesa", 2021.26, 95
"Rabanito", 229.70, 309
"Pera", 147.55, 1000
"Cereza", 1022.39, 172
"Papa", 22.15, 1180
"Lechuga", 49.87, 846
"Zuccini", 70.21, 594
"Higo", 2507.17, 91
"Alcachofa", 125.84, 306
"Cereza", 1020.43, 204
"Frambuesa", 2052.23, 96
"Papa", 17.18, 940
"Cereza", 1017.36, 236
"Lima", 1295.54, 204
"Higo", 2462.70, 110
"Naranja", 7.47, 1190
"Repollo", 5.11, 742
"Durazno", 186.65, 824
"Morrón", 2946.01, 690
"Espárrago", 630.56, 188
"Choclo", 53.34, 336
"Durazno", 163.89, 768
"Manzana", 140.43, 940
"Choclo", 59.71, 255
"Champignon", 3676.72, 106
"Calabaza", 20.72, 640
"Durazno", 257.91, 824
"Morrón", 3033.91, 498
"Durazno", 272.47, 832
"Ciruela", 986.22, 1008
"Apio", 74.31, 309
"Calabaza", 16.40, 920
"Palta", 451.26, 490
"Champignon", 3512.87, 81
"Champignon", 3549.58, 90
"Tomate", 748.33, 1062
"Palta", 487.13, 460
"Uva", 707.05, 243
"Kinoto", 35.67, 240
"Repollo", -0.92, 735
"Lima", 1173.35, 214
"Kinoto", 43.01, 200
"Zanahoria", 38.11, 504
"Acelga", 19.10, 837
"Manzana", 116.67, 830
"TomCherry", 568.18, 210
"Brócoli", 374.65, 348
"Tomate", 751.35, 963
"Lima", 1081.69, 226
"Apio", 56.64, 330
"Kiwi", 444.62, 408
"Melón", 111.15, 332
"Rabanito", 231.90, 336
"Naranja", 18.85, 1030
"Repollo", 8.69, 714
"Palta", 1077.10, 352
"Kiwi", 455.02, 400
"Kinoto", 40.28, 198
"Limon", 304.95, 602
"Coliflor", 30.22, 550
"Zuccini", 103.90, 582
"Papa", 6.76, 820
"Pera", 164.17, 1040
"Espárrago", 601.68, 200
"Acelga", 18.08, 1080
"Durazno", 179.63, 832
"Lima", 1216.46, 176
"Lima", 1294.77, 210
"Rabanito", 210.39, 273
"Durazno", 132.65, 888
"Kiwi", 453.24, 384
"Limon", 313.90, 791
"Lima", 1072.94, 222
"Pomelo", 41.72, 747
"Limon", 359.54, 714
"Higo", 2512.09, 81
"Kiwi", 474.05, 424
"Cereza", 1032.71, 232
"Acelga", 21.37, 963
"Uva", 708.64, 357
"Ajo", 923.76, 96
